PRODUCT_ID,PRODUCT_DESCRIPTION
19718,product19718
59626,product59626
17236,product17236
98626,product98626
34620,product34620
55109,product55109
25444,product25444
55218,product55218
73584,product73584
64299,product64299
71942,product71942
45560,product45560
64995,product64995
38626,product38626
95730,product95730
18613,product18613
84149,product84149
20563,product20563
87724,product87724
70902,product70902
75678,product75678
91,product91
14587,product14587
6289,product6289
21336,product21336
3909,product3909
64057,product64057
43990,product43990
99853,product99853
36128,product36128
70978,product70978
86955,product86955
88793,product88793
54816,product54816
51773,product51773
68002,product68002
49590,product49590
42834,product42834
99890,product99890
51107,product51107
86168,product86168
99621,product99621
44676,product44676
8787,product8787
3941,product3941
19446,product19446
12647,product12647
55506,product55506
89796,product89796
89342,product89342
26282,product26282
30784,product30784
18664,product18664
32771,product32771
18988,product18988
25016,product25016
48019,product48019
47176,product47176
99615,product99615
76439,product76439
87383,product87383
5469,product5469
3995,product3995
44089,product44089
56924,product56924
89119,product89119
96004,product96004
48372,product48372
19702,product19702
70200,product70200
33825,product33825
19266,product19266
1893,product1893
76541,product76541
55127,product55127
75594,product75594
87293,product87293
76777,product76777
86775,product86775
65103,product65103
55264,product55264
53227,product53227
82532,product82532
33008,product33008
72228,product72228
53126,product53126
5509,product5509
51289,product51289
76865,product76865
69507,product69507
24807,product24807
35409,product35409
33432,product33432
52750,product52750
72745,product72745
24260,product24260
80368,product80368
39473,product39473
33799,product33799
37520,product37520
95456,product95456
37093,product37093
4748,product4748
50235,product50235
6045,product6045
52551,product52551
92114,product92114
13157,product13157
49876,product49876
84824,product84824
15132,product15132
66274,product66274
75880,product75880
2949,product2949
43479,product43479
51245,product51245
13313,product13313
9271,product9271
45545,product45545
43726,product43726
29544,product29544
56852,product56852
67280,product67280
68312,product68312
43449,product43449
11942,product11942
45503,product45503
47815,product47815
46925,product46925
66158,product66158
76417,product76417
32074,product32074
8630,product8630
63356,product63356
2867,product2867
32931,product32931
87012,product87012
32513,product32513
59171,product59171
9264,product9264
75503,product75503
13801,product13801
72448,product72448
28966,product28966
45429,product45429
62998,product62998
4394,product4394
28216,product28216
49052,product49052
11432,product11432
11114,product11114
71037,product71037
53256,product53256
18727,product18727
7893,product7893
54614,product54614
65516,product65516
67256,product67256
27421,product27421
46290,product46290
17753,product17753
44560,product44560
94019,product94019
92567,product92567
14742,product14742
87624,product87624
8152,product8152
53433,product53433
58767,product58767
85959,product85959
53136,product53136
3058,product3058
2934,product2934
15693,product15693
2145,product2145
2443,product2443
60381,product60381
91448,product91448
51100,product51100
98723,product98723
87491,product87491
28689,product28689
44446,product44446
83417,product83417
48587,product48587
29783,product29783
29037,product29037
73320,product73320
94600,product94600
57080,product57080
69698,product69698
97499,product97499
87850,product87850
51200,product51200
8010,product8010
74299,product74299
27761,product27761
19833,product19833
80428,product80428
24045,product24045
19638,product19638
93807,product93807
93452,product93452
95261,product95261
91376,product91376
15552,product15552
30390,product30390
86582,product86582
66580,product66580
68975,product68975
20556,product20556
11249,product11249
39490,product39490
25992,product25992
65819,product65819
80317,product80317
40413,product40413
71119,product71119
81274,product81274
92898,product92898
4363,product4363
14130,product14130
99317,product99317
32184,product32184
76565,product76565
59948,product59948
4720,product4720
84430,product84430
38364,product38364
45205,product45205
73238,product73238
61803,product61803
89273,product89273
15119,product15119
84908,product84908
64186,product64186
36015,product36015
60913,product60913
8506,product8506
95441,product95441
92081,product92081
28802,product28802
20721,product20721
4761,product4761
5188,product5188
89549,product89549
4381,product4381
94599,product94599
21929,product21929
32970,product32970
70213,product70213
49908,product49908
1214,product1214
43266,product43266
6998,product6998
64077,product64077
2985,product2985
60343,product60343
49779,product49779
49170,product49170
41284,product41284
55930,product55930
31350,product31350
48408,product48408
26582,product26582
49194,product49194
93184,product93184
68536,product68536
35507,product35507
86587,product86587
17384,product17384
31719,product31719
77449,product77449
49988,product49988
73382,product73382
81460,product81460
3159,product3159
16389,product16389
28004,product28004
84748,product84748
33244,product33244
21203,product21203
31483,product31483
80555,product80555
69699,product69699
28281,product28281
68276,product68276
52867,product52867
29810,product29810
17304,product17304
50007,product50007
67848,product67848
94487,product94487
93281,product93281
79000,product79000
65757,product65757
64875,product64875
16597,product16597
46039,product46039
14323,product14323
99491,product99491
58825,product58825
69577,product69577
82766,product82766
1821,product1821
62213,product62213
69033,product69033
38972,product38972
54470,product54470
18651,product18651
10607,product10607
15788,product15788
69343,product69343
99281,product99281
3728,product3728
7711,product7711
22188,product22188
37883,product37883
36071,product36071
5547,product5547
26328,product26328
60959,product60959
10962,product10962
28056,product28056
44627,product44627
96565,product96565
74651,product74651
71694,product71694
79154,product79154
89966,product89966
23001,product23001
683,product683
1091,product1091
4544,product4544
57045,product57045
5711,product5711
62668,product62668
1589,product1589
39896,product39896
49615,product49615
78107,product78107
35397,product35397
28968,product28968
95409,product95409
15408,product15408
29013,product29013
52490,product52490
36829,product36829
47446,product47446
21588,product21588
17756,product17756
47349,product47349
88883,product88883
62297,product62297
81731,product81731
98095,product98095
29980,product29980
32394,product32394
26248,product26248
60293,product60293
89632,product89632
64791,product64791
63040,product63040
46842,product46842
5374,product5374
34788,product34788
59661,product59661
46284,product46284
28239,product28239
34903,product34903
52524,product52524
58113,product58113
24531,product24531
12802,product12802
33129,product33129
13744,product13744
82706,product82706
9501,product9501
47943,product47943
62411,product62411
59380,product59380
37126,product37126
83170,product83170
55141,product55141
44189,product44189
91004,product91004
70568,product70568
32258,product32258
50915,product50915
70944,product70944
58019,product58019
94177,product94177
42007,product42007
48361,product48361
50046,product50046
390,product390
88121,product88121
61380,product61380
52098,product52098
5180,product5180
49926,product49926
30725,product30725
42475,product42475
49014,product49014
91092,product91092
5929,product5929
91763,product91763
35436,product35436
93651,product93651
34478,product34478
19976,product19976
95005,product95005
43342,product43342
54051,product54051
28245,product28245
57788,product57788
98280,product98280
35305,product35305
13306,product13306
97958,product97958
94049,product94049
49751,product49751
49943,product49943
42641,product42641
85036,product85036
6028,product6028
44049,product44049
35508,product35508
43942,product43942
91674,product91674
71679,product71679
55025,product55025
89404,product89404
15260,product15260
13372,product13372
44615,product44615
56945,product56945
9469,product9469
49189,product49189
10204,product10204
63619,product63619
48904,product48904
81884,product81884
90158,product90158
90545,product90545
9221,product9221
18555,product18555
80310,product80310
42676,product42676
20093,product20093
28536,product28536
1045,product1045
62521,product62521
6812,product6812
77617,product77617
83186,product83186
36299,product36299
81328,product81328
75843,product75843
48999,product48999
90315,product90315
4174,product4174
88817,product88817
4211,product4211
27081,product27081
11683,product11683
97907,product97907
77649,product77649
9268,product9268
65568,product65568
74416,product74416
90693,product90693
6888,product6888
15516,product15516
21388,product21388
46004,product46004
74041,product74041
36354,product36354
89216,product89216
26130,product26130
36590,product36590
49439,product49439
95916,product95916
76098,product76098
85941,product85941
49096,product49096
27371,product27371
52563,product52563
55911,product55911
7202,product7202
25158,product25158
54057,product54057
77925,product77925
62010,product62010
38170,product38170
97792,product97792
89072,product89072
6156,product6156
46079,product46079
21110,product21110
60129,product60129
91778,product91778
79432,product79432
4956,product4956
94017,product94017
68346,product68346
28089,product28089
16084,product16084
28350,product28350
71099,product71099
4305,product4305
83815,product83815
69800,product69800
94775,product94775
76106,product76106
21700,product21700
56766,product56766
1683,product1683
73612,product73612
13284,product13284
37809,product37809
41214,product41214
57100,product57100
43835,product43835
87853,product87853
50547,product50547
46828,product46828
4688,product4688
40880,product40880
71968,product71968
46544,product46544
30866,product30866
87765,product87765
98451,product98451
8938,product8938
10680,product10680
95334,product95334
65774,product65774
93038,product93038
15317,product15317
21925,product21925
56140,product56140
25355,product25355
47779,product47779
5741,product5741
21846,product21846
47028,product47028
40686,product40686
56932,product56932
82329,product82329
12188,product12188
23438,product23438
19857,product19857
11472,product11472
17171,product17171
68711,product68711
86592,product86592
97602,product97602
73757,product73757
53674,product53674
47011,product47011
92463,product92463
74586,product74586
86175,product86175
22815,product22815
46650,product46650
52623,product52623
94455,product94455
81639,product81639
49397,product49397
92437,product92437
7178,product7178
41427,product41427
7106,product7106
32231,product32231
48967,product48967
48989,product48989
50423,product50423
2860,product2860
85225,product85225
17051,product17051
51262,product51262
11216,product11216
88664,product88664
84061,product84061
64438,product64438
22195,product22195
46783,product46783
78367,product78367
78970,product78970
41754,product41754
67292,product67292
40868,product40868
22000,product22000
59441,product59441
64787,product64787
76033,product76033
22849,product22849
24145,product24145
30661,product30661
75253,product75253
97209,product97209
42702,product42702
23575,product23575
21143,product21143
62241,product62241
58066,product58066
67907,product67907
61021,product61021
37,product37
2211,product2211
45844,product45844
22060,product22060
72355,product72355
73613,product73613
76470,product76470
72331,product72331
1913,product1913
65446,product65446
6729,product6729
43244,product43244
28461,product28461
27055,product27055
3468,product3468
81667,product81667
53928,product53928
9660,product9660
62054,product62054
88717,product88717
12703,product12703
92492,product92492
83259,product83259
30063,product30063
97311,product97311
53793,product53793
32648,product32648
56257,product56257
52705,product52705
74095,product74095
92978,product92978
65270,product65270
48013,product48013
11635,product11635
79162,product79162
74920,product74920
87457,product87457
16699,product16699
51424,product51424
52068,product52068
58881,product58881
66519,product66519
78001,product78001
5682,product5682
13396,product13396
26915,product26915
79892,product79892
12529,product12529
17734,product17734
14725,product14725
68667,product68667
78810,product78810
21703,product21703
28547,product28547
99881,product99881
54474,product54474
15631,product15631
18475,product18475
11899,product11899
7469,product7469
71972,product71972
73930,product73930
84500,product84500
19903,product19903
24619,product24619
40227,product40227
96739,product96739
41219,product41219
57708,product57708
67315,product67315
6734,product6734
14152,product14152
12859,product12859
93544,product93544
80925,product80925
62004,product62004
80866,product80866
21680,product21680
25081,product25081
50477,product50477
20817,product20817
16815,product16815
5654,product5654
35706,product35706
16839,product16839
15897,product15897
26813,product26813
87207,product87207
92630,product92630
76961,product76961
97302,product97302
30956,product30956
92881,product92881
39950,product39950
63628,product63628
7260,product7260
79478,product79478
75022,product75022
6749,product6749
91298,product91298
22629,product22629
3158,product3158
3391,product3391
74327,product74327
10563,product10563
19410,product19410
34809,product34809
82162,product82162
40206,product40206
59974,product59974
73940,product73940
97287,product97287
81942,product81942
19452,product19452
73319,product73319
50220,product50220
86635,product86635
10924,product10924
9030,product9030
52082,product52082
35029,product35029
51291,product51291
206,product206
16390,product16390
41729,product41729
35126,product35126
33317,product33317
13354,product13354
78758,product78758
92518,product92518
20310,product20310
38874,product38874
22360,product22360
1553,product1553
36297,product36297
61094,product61094
16349,product16349
26072,product26072
30863,product30863
14672,product14672
54405,product54405
89742,product89742
60224,product60224
95374,product95374
90270,product90270
91711,product91711
30697,product30697
20732,product20732
31259,product31259
79718,product79718
5998,product5998
4246,product4246
50197,product50197
17245,product17245
24938,product24938
30317,product30317
47049,product47049
56968,product56968
47582,product47582
66326,product66326
78153,product78153
34830,product34830
29291,product29291
18425,product18425
18659,product18659
1804,product1804
7300,product7300
72940,product72940
85299,product85299
34197,product34197
24499,product24499
97903,product97903
64850,product64850
73524,product73524
7780,product7780
58460,product58460
47041,product47041
62957,product62957
54986,product54986
36622,product36622
73010,product73010
78141,product78141
10478,product10478
59167,product59167
58061,product58061
907,product907
17043,product17043
43365,product43365
90200,product90200
54660,product54660
55964,product55964
55042,product55042
24043,product24043
29585,product29585
96188,product96188
55879,product55879
84266,product84266
2533,product2533
86935,product86935
94904,product94904
26333,product26333
20734,product20734
27704,product27704
28177,product28177
98684,product98684
85259,product85259
49598,product49598
43029,product43029
13821,product13821
59553,product59553
23756,product23756
66328,product66328
42535,product42535
38633,product38633
71923,product71923
54760,product54760
13551,product13551
63592,product63592
7512,product7512
17659,product17659
13479,product13479
70072,product70072
14456,product14456
18181,product18181
66836,product66836
30137,product30137
73892,product73892
76778,product76778
66793,product66793
26384,product26384
36533,product36533
88623,product88623
45069,product45069
36537,product36537
99187,product99187
92765,product92765
40252,product40252
72524,product72524
31522,product31522
19786,product19786
65051,product65051
71355,product71355
21338,product21338
1074,product1074
94255,product94255
37790,product37790
88244,product88244
22691,product22691
14350,product14350
42767,product42767
70670,product70670
64363,product64363
73225,product73225
92931,product92931
77178,product77178
47395,product47395
51220,product51220
54319,product54319
45359,product45359
39405,product39405
81838,product81838
44558,product44558
47036,product47036
12508,product12508
10416,product10416
86292,product86292
45934,product45934
2011,product2011
40701,product40701
52310,product52310
22012,product22012
63479,product63479
28573,product28573
9566,product9566
28150,product28150
80835,product80835
91882,product91882
67912,product67912
23191,product23191
1161,product1161
91444,product91444
52497,product52497
38561,product38561
50330,product50330
90379,product90379
97112,product97112
42744,product42744
11237,product11237
59228,product59228
28607,product28607
58062,product58062
36526,product36526
86758,product86758
61433,product61433
54796,product54796
80639,product80639
42351,product42351
51197,product51197
19258,product19258
24804,product24804
19259,product19259
17964,product17964
35067,product35067
8406,product8406
96230,product96230
98585,product98585
98329,product98329
14255,product14255
69594,product69594
70951,product70951
26778,product26778
11033,product11033
10575,product10575
67787,product67787
65032,product65032
69744,product69744
83627,product83627
17285,product17285
30001,product30001
29116,product29116
37046,product37046
28594,product28594
63422,product63422
99314,product99314
40159,product40159
77138,product77138
21349,product21349
18496,product18496
52550,product52550
56007,product56007
38246,product38246
5240,product5240
48861,product48861
5797,product5797
69338,product69338
56254,product56254
21286,product21286
92912,product92912
6918,product6918
81497,product81497
94037,product94037
64808,product64808
53655,product53655
65202,product65202
73859,product73859
77012,product77012
30830,product30830
64862,product64862
78891,product78891
41889,product41889
36309,product36309
22351,product22351
19371,product19371
83301,product83301
75596,product75596
61092,product61092
40675,product40675
84687,product84687
50748,product50748
27564,product27564
39357,product39357
93714,product93714
74332,product74332
89874,product89874
38420,product38420
69932,product69932
38774,product38774
15284,product15284
62439,product62439
39078,product39078
67328,product67328
7766,product7766
60011,product60011
74237,product74237
54420,product54420
41317,product41317
54027,product54027
68505,product68505
88938,product88938
94231,product94231
55592,product55592
26808,product26808
58952,product58952
59846,product59846
42519,product42519
52201,product52201
25228,product25228
53520,product53520
89496,product89496
52626,product52626
23507,product23507
96618,product96618
71077,product71077
55276,product55276
6090,product6090
29193,product29193
57284,product57284
15789,product15789
58022,product58022
86107,product86107
49604,product49604
14776,product14776
56504,product56504
50402,product50402
80889,product80889
10445,product10445
43221,product43221
27122,product27122
53908,product53908
21100,product21100
50970,product50970
46324,product46324
26723,product26723
85864,product85864
52700,product52700
6908,product6908
13101,product13101
25970,product25970
50709,product50709
68772,product68772
40837,product40837
34908,product34908
87607,product87607
86940,product86940
84350,product84350
88548,product88548
54128,product54128
40093,product40093
37938,product37938
22705,product22705
82236,product82236
77643,product77643
42325,product42325
96555,product96555
21197,product21197
74642,product74642
209,product209
59462,product59462
64275,product64275
56683,product56683
12568,product12568
92697,product92697
67535,product67535
76185,product76185
19759,product19759
42783,product42783
8005,product8005
76672,product76672
42455,product42455
74068,product74068
14870,product14870
58710,product58710
82493,product82493
65897,product65897
74835,product74835
93096,product93096
75123,product75123
75042,product75042
83280,product83280
70953,product70953
52127,product52127
53842,product53842
82864,product82864
37057,product37057
6800,product6800
77041,product77041
53611,product53611
72541,product72541
86110,product86110
60006,product60006
76879,product76879
94140,product94140
63403,product63403
39041,product39041
96402,product96402
53605,product53605
63867,product63867
27788,product27788
37105,product37105
53953,product53953
66246,product66246
97231,product97231
11765,product11765
77003,product77003
35720,product35720
21978,product21978
33536,product33536
26988,product26988
34754,product34754
9105,product9105
73627,product73627
76492,product76492
78719,product78719
11293,product11293
42993,product42993
17535,product17535
3745,product3745
21225,product21225
73456,product73456
14257,product14257
81862,product81862
80883,product80883
29380,product29380
63179,product63179
75060,product75060
54884,product54884
28592,product28592
26283,product26283
74760,product74760
27328,product27328
41957,product41957
30762,product30762
11468,product11468
33663,product33663
72842,product72842
77883,product77883
66953,product66953
93907,product93907
56648,product56648
28288,product28288
20731,product20731
36087,product36087
21247,product21247
45860,product45860
2202,product2202
64560,product64560
36802,product36802
93431,product93431
66167,product66167
16763,product16763
99452,product99452
9454,product9454
53367,product53367
91869,product91869
7235,product7235
94384,product94384
26447,product26447
98188,product98188
37342,product37342
45840,product45840
59520,product59520
21791,product21791
73228,product73228
25940,product25940
15859,product15859
11213,product11213
52278,product52278
84563,product84563
86117,product86117
65959,product65959
81797,product81797
40921,product40921
4984,product4984
76320,product76320
32948,product32948
88743,product88743
52562,product52562
56770,product56770
14240,product14240
75798,product75798
42538,product42538
8032,product8032
52812,product52812
60982,product60982
56028,product56028
12354,product12354
65580,product65580
37114,product37114
65358,product65358
71780,product71780
73891,product73891
93687,product93687
11841,product11841
69694,product69694
12616,product12616
45141,product45141
47581,product47581
2329,product2329
83266,product83266
623,product623
35473,product35473
98837,product98837
10446,product10446
95422,product95422
85957,product85957
6408,product6408
92414,product92414
68213,product68213
28451,product28451
87169,product87169
87695,product87695
88101,product88101
79250,product79250
74067,product74067
28911,product28911
73013,product73013
59538,product59538
96776,product96776
17545,product17545
98203,product98203
51228,product51228
4493,product4493
90971,product90971
92927,product92927
38818,product38818
18636,product18636
39518,product39518
19989,product19989
43133,product43133
6172,product6172
34994,product34994
67563,product67563
93088,product93088
45304,product45304
42415,product42415
2120,product2120
89222,product89222
78210,product78210
91996,product91996
96782,product96782
83329,product83329
86704,product86704
16192,product16192
69987,product69987
10090,product10090
87614,product87614
54020,product54020
47621,product47621
54015,product54015
13117,product13117
96770,product96770
6322,product6322
17741,product17741
75081,product75081
60220,product60220
14379,product14379
75035,product75035
60083,product60083
76725,product76725
93409,product93409
26966,product26966
59811,product59811
53238,product53238
97021,product97021
90285,product90285
49657,product49657
94451,product94451
10360,product10360
40183,product40183
69485,product69485
1544,product1544
96876,product96876
83787,product83787
23442,product23442
28886,product28886
70540,product70540
49401,product49401
75634,product75634
21361,product21361
89820,product89820
83952,product83952
76317,product76317
52655,product52655
96530,product96530
39356,product39356
11019,product11019
5728,product5728
71154,product71154
53254,product53254
8916,product8916
31281,product31281
10253,product10253
23226,product23226
78104,product78104
34625,product34625
23746,product23746
79786,product79786
49637,product49637
73070,product73070
65790,product65790
56798,product56798
47636,product47636
93707,product93707
66138,product66138
49291,product49291
28259,product28259
23872,product23872
33261,product33261
42269,product42269
78749,product78749
85068,product85068
19904,product19904
90771,product90771
8045,product8045
55639,product55639
73221,product73221
48393,product48393
99681,product99681
51420,product51420
27623,product27623
78299,product78299
20278,product20278
17001,product17001
25614,product25614
25042,product25042
41771,product41771
7554,product7554
32785,product32785
92466,product92466
54357,product54357
32980,product32980
42508,product42508
66067,product66067
88470,product88470
12697,product12697
24081,product24081
2850,product2850
67975,product67975
24564,product24564
38244,product38244
57720,product57720
51068,product51068
45811,product45811
69915,product69915
52821,product52821
71221,product71221
4860,product4860
54926,product54926
44264,product44264
28187,product28187
37244,product37244
23060,product23060
51704,product51704
83483,product83483
549,product549
81578,product81578
8064,product8064
56277,product56277
52159,product52159
65627,product65627
59057,product59057
57123,product57123
50934,product50934
51037,product51037
17120,product17120
90937,product90937
19897,product19897
73535,product73535
275,product275
14741,product14741
36531,product36531
24826,product24826
90,product90
60195,product60195
22004,product22004
73375,product73375
91679,product91679
92598,product92598
71791,product71791
11652,product11652
8569,product8569
54142,product54142
10746,product10746
68504,product68504
82786,product82786
38131,product38131
60626,product60626
28667,product28667
49051,product49051
30185,product30185
56066,product56066
38856,product38856
92610,product92610
95650,product95650
18372,product18372
11463,product11463
9893,product9893
85989,product85989
29065,product29065
89527,product89527
26165,product26165
54236,product54236
62780,product62780
27074,product27074
37500,product37500
16203,product16203
53635,product53635
49006,product49006
96521,product96521
3224,product3224
42013,product42013
85533,product85533
18356,product18356
36916,product36916
2989,product2989
31632,product31632
77817,product77817
15179,product15179
99036,product99036
72731,product72731
53526,product53526
57134,product57134
1051,product1051
44104,product44104
5330,product5330
18851,product18851
76068,product76068
77763,product77763
7811,product7811
40046,product40046
6879,product6879
66445,product66445
92099,product92099
96874,product96874
43085,product43085
72064,product72064
95839,product95839
55115,product55115
83661,product83661
46442,product46442
47113,product47113
65998,product65998
11657,product11657
95220,product95220
41000,product41000
73009,product73009
26481,product26481
39294,product39294
45310,product45310
4889,product4889
51780,product51780
82672,product82672
94534,product94534
39029,product39029
97663,product97663
90734,product90734
45873,product45873
24615,product24615
18610,product18610
81042,product81042
47774,product47774
15350,product15350
37014,product37014
6273,product6273
72808,product72808
24602,product24602
67039,product67039
20535,product20535
88362,product88362
4149,product4149
44243,product44243
96858,product96858
94507,product94507
99893,product99893
84356,product84356
2172,product2172
4510,product4510
49983,product49983
30609,product30609
52752,product52752
37701,product37701
3163,product3163
91087,product91087
78803,product78803
36810,product36810
23075,product23075
90720,product90720
36237,product36237
3350,product3350
33986,product33986
6195,product6195
62947,product62947
13886,product13886
61373,product61373
63881,product63881
9933,product9933
45411,product45411
6448,product6448
84522,product84522
81760,product81760
34551,product34551
5933,product5933
76065,product76065
71520,product71520
67565,product67565
42087,product42087
17929,product17929
78767,product78767
97562,product97562
80081,product80081
20060,product20060
3200,product3200
63088,product63088
50787,product50787
33237,product33237
67602,product67602
74340,product74340
12012,product12012
57116,product57116
7541,product7541
45911,product45911
93926,product93926
17804,product17804
9813,product9813
32085,product32085
23849,product23849
19566,product19566
33053,product33053
87892,product87892
32990,product32990
8353,product8353
50388,product50388
6337,product6337
14369,product14369
30961,product30961
56331,product56331
94829,product94829
38356,product38356
39728,product39728
28953,product28953
85405,product85405
36671,product36671
578,product578
47371,product47371
12091,product12091
45709,product45709
98518,product98518
82337,product82337
72383,product72383
46397,product46397
31702,product31702
78082,product78082
46626,product46626
19318,product19318
61358,product61358
99768,product99768
45916,product45916
36216,product36216
85176,product85176
72943,product72943
27089,product27089
83601,product83601
38216,product38216
95366,product95366
30493,product30493
52579,product52579
12904,product12904
14633,product14633
5874,product5874
20326,product20326
66938,product66938
